lat,lon,bhk,rate per sqft,area per sqft,price,property name,location,nearby school,nearby hospital,nearby bank,nearby public transport,nearby railway station,price source,matched map name,matched from,match method,property type
23.0107147,72.4429208,3,7592,866,0.6575,ratna turquoise rosedale,shela,Sanskardham School Hostel (2.55 km),Krishna Shalby Hospital (1.48 km),ATM HDFC Bank (2.80 km),Ghuma BRTS terminal (2.32 km),Gora Ghuma (3.24 km),original,Shela Lake,shela,fuzzy_name,flat
23.096244,72.4657337,3,4444,1980,0.88,laxmi one01,bhadaj,"Anand Niketan School, Shilaj (5.42 km)",Ahmedabad Dental College & Hospital (1.31 km),ATM HDFC Bank (7.22 km),Bhadaj circle BRTS (3.35 km),Ambli Road (5.53 km),original,Bhadaj,bhadaj,exact_name,flat
23.1589328,72.5380315,3,7971,1104,0.88,adani elysium novus,adani shantigram,NIM Auditorium (3.46 km),KD Blossom (2.63 km),Kalupur Cooperative Commercial BANK (3.47 km),Chandkheda Bus Depo (6.72 km),Khodiyar Junction (1.10 km),original,Shantigram,shantigram,exact_name,flat
23.1589328,72.5380315,4,5962,2365,1.41,shivalik greenfield,adani shantigram,NIM Auditorium (3.46 km),KD Blossom (2.63 km),Kalupur Cooperative Commercial BANK (3.47 km),Chandkheda Bus Depo (6.72 km),Khodiyar Junction (1.10 km),original,Shantigram,shantigram,exact_name,flat
23.2770506,72.0875893,3,10515,970,1.02,samesh,vasna,Raval School (41.28 km),Genearl Eye Hospital (16.93 km),axis bank (36.04 km),Viramgam bus stop (16.89 km),Bhankoda (4.23 km),original,Vasna,vasna,exact_name,flat
23.0445921,72.517344,4,11111,2160,2.4,madhav oeuvre iconic,bodakdev,Nirma Vidyavihar (0.24 km),Apex Heart Institute (0.37 km),Indian Bank (1.50 km),Thaltej Metro (0.56 km),Ambli Road (2.64 km),original,Bodakdev,bodakdev,exact_name,flat
23.0417971,72.4911758,5,16288,3346,5.45,anamika high point,sindhu bhavan road,Satva Vikas School (0.49 km),Jeevan Dhara Hospital (1.53 km),Indian Bank (2.31 km),Jaintilal Park BRTS (1.49 km),Ambli Road (1.32 km),original,Sindhu Bhavan Road,sindhu bhavan road,exact_name,flat
23.119848,72.5152135,3,6967,1421,0.99,samatva magnolia,ognaj,Nirma Vidhya Vihar (3.23 km),Lions Karnavati Shantaben Vishnubhai Patel Eye Hospital (1.13 km),Kalupur Cooperative Commercial BANK (3.08 km),Bhadaj circle BRTS (4.57 km),Chandlodiya 'B' (5.07 km),original,Ognaj Lake,ognaj,fuzzy_name,flat
23.0544372,72.4720756,3,4943,1760,0.87,sharanya altura,shilaj,"Anand Niketan School, Shilaj (1.18 km)",INDU MEDICARE (1.13 km),ATM HDFC Bank (2.91 km),Bopal gam (2.41 km),Ambli Road (2.18 km),original,Shilaj,shilaj,exact_name,flat
23.021803,72.4747707,3,9321,869,0.81,harvi helios,south bopal,Cosmos Castle International School (2.70 km),Devasya Superspeciality Kidney Institute and Research Centre (0.63 km),ICICI Bank (0.47 km),Bopal Appoach BRTS (0.55 km),Gora Ghuma (3.01 km),original,South Bopal,south bopal,exact_name,flat
23.057541,72.5435085,5,1392,10920,1.52,highline by ag group,sola,Karmachari Shiksan Tirth (0.85 km),Dr. Kaushik Vaidhya Medical Nursing Home (0.17 km),canera bank (1.47 km),Parasnagar BRTS stand (0.22 km),Chandlodiya (1.96 km),original,Sola,sola,exact_name,flat
23.0107147,72.4429208,3,10857,875,0.95,shaligram prestige,shela,Sanskardham School Hostel (2.55 km),Krishna Shalby Hospital (1.48 km),ATM HDFC Bank (2.80 km),Ghuma BRTS terminal (2.32 km),Gora Ghuma (3.24 km),original,Shela Lake,shela,fuzzy_name,flat
22.996342,72.5043085,5,7155,2879,2.06,goyal riviera prestige,makarba,Driving License Test Practice Area (1.03 km),Mamata Hospital (1.43 km),Yes Bank (1.95 km),Kadambari Society (2.94 km),Sarkhej (1.73 km),original,Makarba,makarba,exact_name,flat
23.1358111,72.5818846,3,7900,871,0.6881,satyagrah the atlantis wave,zundal,H3 World School (2.17 km),Devarshi Super Speciality Hospital (1.52 km),Kalupur Cooperative Commercial BANK (3.97 km),Chandkheda Bus Depo (2.31 km),Chandkheda Road (3.38 km),original,Zundal,zundal,exact_name,flat
23.0796581,72.4947377,3,8312,1985,1.65,anantara alora,science park,Zebar School (3.46 km),Dr. Parth Amin (ENT Specialist) Mediheal Hospital (0.72 km),Indian Bank (5.53 km),Bhadaj circle BRTS (0.39 km),Ambli Road (2.91 km),original,Life Science Park,science park,fuzzy_name,flat
23.119848,72.5152135,4,7847,1593,1.25,vibgyor sculpture,ognaj,Nirma Vidhya Vihar (3.23 km),Lions Karnavati Shantaben Vishnubhai Patel Eye Hospital (1.13 km),Kalupur Cooperative Commercial BANK (3.08 km),Bhadaj circle BRTS (4.57 km),Chandlodiya 'B' (5.07 km),original,Ognaj Lake,ognaj,fuzzy_name,flat
23.0107147,72.4429208,5,4236,6326,2.68,riviera majestica,shela,Sanskardham School Hostel (2.55 km),Krishna Shalby Hospital (1.48 km),ATM HDFC Bank (2.80 km),Ghuma BRTS terminal (2.32 km),Gora Ghuma (3.24 km),original,Shela Lake,shela,fuzzy_name,flat
23.1283467,72.558657,2,8584,699,0.6,om the amber,tragad,H3 World School (0.43 km),Nirma Health Centre (1.61 km),Kalupur Cooperative Commercial BANK (1.50 km),Chandkheda Bus Depo (2.91 km),Chandkheda Road (2.07 km),original,Tragad,tragad,exact_name,flat
23.0535306,72.4934085,4,5142,3170,1.63,deep indraprasth shivanta,ambli,Zebar School (0.56 km),Columbia Asia Hospital (2.00 km),Indian Bank (2.99 km),Thaltej Gam (1.44 km),Ambli Road (0.00 km),original,Ambli Road,ambli,fuzzy_name,flat
22.9317728,72.5749418,3,3779,979,0.37,the origin,lambha,St. Mary's School Vatva (4.65 km),Lambha Skin Hospital (0.26 km),Indusland Bank (7.57 km),Narol (4.82 km),Vatva (6.38 km),original,Lambha,lambha,exact_name,flat
23.1646919,72.5821046,3,3964,1154,0.4575,nirman sahvas,adalaj,Swarrnim International School (1.48 km),Government hospital Adalaj (0.50 km),Kalupur Cooperative Commercial BANK (5.63 km),Metropolis Healthcare Ltd (5.51 km),Khodiyar Junction (3.59 km),original,Adalaj,adalaj,exact_name,flat
23.0774129,72.4943545,4,3991,4059,1.62,saga enstin evoq,science city,Zebar School (3.21 km),Dr. Parth Amin (ENT Specialist) Mediheal Hospital (0.80 km),Indian Bank (5.31 km),Bhadaj circle BRTS (0.64 km),Ambli Road (2.66 km),original,Science City,science city,exact_name,flat
23.0535306,72.4934085,5,12294,7288,8.96,the bellagio,ambli,Zebar School (0.56 km),Columbia Asia Hospital (2.00 km),Indian Bank (2.99 km),Thaltej Gam (1.44 km),Ambli Road (0.00 km),original,Ambli Road,ambli,fuzzy_name,flat
23.0556364,72.5965538,2,7843,1377,1.08,ashokvatika society,ashokvatika society,PM Shri Kendriya Vidyalaya Ahmedabad Cantt (0.90 km),The Gujarat Research and Medical Institute ( Rajasthan Hospital) (0.05 km),Ahmedabad District Cooperative Bank (3.07 km),Mahapragnaji Bridge Approach (0.34 km),Sabarmati Junction (1.99 km),original,Shahibaug,the popular residential address of shahibaug,fuzzy_name,flat
