area_sqft,bhk,property_type,lat,lon,price_inr
967,3,Apartment,23.0854097,72.6580946,7500000.0
1620,3,Apartment,23.2327276,72.494053,6700000.0
1458,2,Apartment,23.0434823,72.6810611,4900000.0
1936,3,Apartment,23.0366663,72.5492165,12000000.0
2094,4,Apartment,23.0107147,72.4429208,11000000.0
1260,2,Apartment,23.2525119,72.4837832,5600000.000000001
990,2,Apartment,23.0111491,72.5132562,7500000.0
1530,3,Apartment,23.013039,72.5637853,8800000.0
2740,3,Apartment,23.0107147,72.4429208,18500000.0
1440,3,Apartment,23.0295113,72.4506006,7500000.0
3311,4,Apartment,23.0445921,72.517344,28000000.0
3170,4,Apartment,23.0111491,72.5132562,20000000.0
2400,3,Apartment,23.0111491,72.5132562,15600000.0
3200,4,Apartment,23.0215374,72.5800568,40000000.0
1980,3,Apartment,23.0854097,72.6580946,5230000.0
3720,4,Apartment,23.0485393,72.511742,33500000.0
2150,3,Apartment,23.1123884,72.5515273,12000000.0
1813,3,Apartment,23.1153559,72.5366513,12500000.0
1850,4,Apartment,23.0485393,72.511742,26000000.0
2141,3,Apartment,23.1010002,72.5408363,13100000.0
4254,5,Apartment,22.9935397,72.470143,28000000.0
6750,4,Villa,23.0485393,72.511742,95100000.0
2700,4,Villa,23.0232163,72.4708784,35000000.0
1750,3,Apartment,23.1283467,72.558657,11500000.0
1760,3,Apartment,23.0232163,72.4708784,8000000.0
3677,4,Apartment,23.0485393,72.511742,30000000.0
2100,3,Apartment,23.0967876,72.5966689,11000000.0
13455,5,Apartment,23.0544372,72.4720756,102500000.0
1480,3,Apartment,23.0172779,72.4709076,7400000.0
2585,3,Apartment,23.0360509,72.5611735,19500000.0
2322,3,Apartment,23.1709715,72.5325602,12000000.0
2598,3,Apartment,23.0107147,72.4429208,18000000.0
2740,3,Apartment,23.0012666,72.5877721,15100000.0
2778,3,Apartment,23.0107147,72.4429208,15300000.0
2052,3,Apartment,23.1634079,72.6888935,12900000.0
2000,3,Apartment,23.0458191,72.5523558,18000000.0
1485,2,Apartment,23.0591062,72.5227898,9000000.0
2103,3,Apartment,23.1080196,72.5915248,10000000.0
977,3,Apartment,23.0145531,72.5635432,13000000.0
3170,4,Apartment,23.0366663,72.5492165,21600000.0
1800,5,Apartment,23.0069624,72.5440056,36000000.0
4400,4,Apartment,23.0079064,72.5174367,45000000.0
3291,4,Apartment,23.0012666,72.5877721,19400000.0
1435,3,Apartment,23.0232163,72.4708784,7500000.0
2118,3,Apartment,23.1010002,72.5408363,11700000.0
1341,2,Apartment,23.1010002,72.5408363,6511000.0
1510,3,Apartment,23.0215374,72.5800568,6800000.000000001
2115,3,Apartment,23.107121,72.5848584,12500000.0
8100,4,Villa,22.9728548,72.4587201,71000000.0
1215,2,Apartment,23.0012666,72.5877721,5600000.000000001
3105,4,Apartment,23.0366663,72.5492165,32500000.0
1250,2,Apartment,23.0215374,72.5800568,6400000.0
1850,3,Apartment,23.0232163,72.4708784,9500000.0
1210,2,Apartment,23.1043633,72.5493536,5800000.0
2512,4,Apartment,23.081994,72.5519258,16000000.0
810,4,Villa,23.0847978,72.5512141,20000000.0
856,3,Apartment,23.107121,72.5848584,7500000.0
2775,4,Apartment,23.0366663,72.5492165,22000000.0
1440,3,Apartment,23.0232163,72.4708784,7200000.0
1485,3,Apartment,23.0012666,72.5877721,19800000.0
1133,3,Apartment,23.1123884,72.5515273,10000000.0
1215,2,Apartment,23.107121,72.5848584,5500000.0
1470,3,Apartment,23.0232163,72.4708784,10500000.0
1700,3,Apartment,23.0295113,72.4506006,7700000.0
615,2,Apartment,22.9977135,72.6067174,11000000.0
2548,3,Apartment,23.0485393,72.511742,24100000.0
4494,4,Villa,23.0107147,72.4429208,34000000.0
4500,4,Apartment,23.2145657,72.6856816,49500000.0
1550,3,Apartment,23.0366663,72.5492165,7500000.0
3125,4,Apartment,23.0232163,72.4708784,17100000.0
9900,4,Apartment,22.9642542,72.6506601,87500000.0
3550,5,Apartment,23.0445921,72.517344,66000000.0
2385,3,Apartment,23.0535306,72.4934085,42500000.0
877,3,Apartment,23.0810804,72.6819875,7400000.0
917,3,Apartment,22.9948656,72.6624431,6100000.0
1950,4,Apartment,23.0796581,72.4947377,23000000.0
3942,4,Apartment,23.0366663,72.5492165,51500000.0
371,1,Apartment,23.0672116,72.6429212,2100000.0
